,x1,x10,x2,x3,x4,x5,x6,x7,x8,x9,y
0,-555,-146,-190,77,-407,247,-181,-586,235,400,298.35249879073615
1,-533,-510,183,-278,-265,408,535,-161,-552,598,467.52689757606873
2,-76,-311,554,-34,-511,209,331,192,-120,-562,299.01039668552653
3,205,155,-92,441,-267,-247,139,-48,61,-508,172.17707187866503
4,540,8,223,-593,90,-280,-218,-559,-389,-484,382.2446633023259
5,171,-110,-576,570,-499,-151,367,-214,549,406,405.1353249473974
6,408,-542,-305,383,480,98,-412,-487,196,215,358.87476567722763
7,-466,-84,124,58,419,552,509,-73,525,-566,396.90489373975646
8,-345,-316,120,-255,185,-109,-32,479,123,467,203.02402191720248
9,146,190,422,517,-63,549,-154,591,95,551,374.44976715378095
10,-214,-150,-509,377,-575,457,278,-556,521,271,436.071752164901
11,542,360,16,398,197,-362,41,408,555,59,308.8820295712254
12,-129,-494,-516,495,469,486,426,-136,-316,-344,412.5697608287132
13,-388,80,-231,-267,-569,-446,313,-212,380,-538,346.25699946755003
14,326,-130,-199,-69,-204,-403,-404,-179,-451,111,196.6355010017098
15,-284,-406,545,512,-276,414,-593,422,447,-440,494.8134456451819
16,-318,-453,204,138,-591,458,511,267,268,-590,420.5873143806793
17,-593,-279,-470,-168,35,-530,-345,274,-40,-518,357.19107835220206
18,-398,516,-7,140,509,-283,-107,406,286,135,265.96571462597086
19,-5,-413,255,-121,557,405,29,477,296,441,309.75060999908465
20,-197,-17,153,465,-353,-502,336,-271,-85,-58,214.06772028949678
21,-104,10,71,-17,-136,-442,46,-481,273,-503,198.6929340667227
22,-374,-345,265,548,322,449,134,403,228,248,308.14240796121607
23,-400,287,318,44,30,140,555,413,548,-597,376.2986876952533
24,244,376,136,565,-100,-525,-294,-244,-103,417,289.68810903867
25,160,-261,286,-296,576,348,-414,-480,-102,-255,299.30968220049135
26,215,-10,432,515,-411,-564,-284,530,-126,-248,357.03531734180393
27,-323,-166,2,336,-178,-580,-312,5,-443,-573,309.7038197618589
28,-30,-266,-285,-37,-49,402,399,-564,488,298,281.61034383782624
29,-51,306,369,79,-297,229,-554,-226,430,-77,233.02586086016586
30,547,-402,421,381,241,-506,145,-303,-79,193,314.4142696930009
31,106,-168,1,376,-573,448,269,543,-485,-590,416.11314775671525
32,418,-151,492,-113,-453,266,-294,-553,107,-1,284.03043253983725
33,-396,-441,266,-577,-431,-12,2,230,420,-43,294.01251058205867
34,307,410,-9,-300,-68,-213,-97,-378,487,-408,240.5892941888206
35,37,530,551,-57,-575,425,-332,-110,378,-293,363.856500055714
36,-554,358,-221,59,319,373,-511,511,339,-9,342.38762438230214
37,-337,432,203,423,54,-550,59,335,380,-542,345.90423828954334
38,391,471,73,-286,252,-105,171,-473,520,391,304.1567472780973
39,-465,-114,461,-92,-590,-317,-178,260,-436,-56,298.8007292429579
40,339,596,-531,-583,-88,-99,-195,-366,41,-385,358.84814422207234
41,1,84,273,364,398,-520,-564,164,305,303,294.17693993007515
42,-65,127,155,387,-484,396,87,-465,-118,-592,294.30586398956007
43,-134,385,430,556,582,-405,-88,24,397,393,371.83830941852494
44,-200,-205,166,-283,-315,173,564,-166,-462,-147,225.87684888176548
45,543,104,83,225,-19,580,374,-441,8,-23,259.7222666678443
46,-435,-354,-498,508,-23,562,-26,551,88,-545,437.50533924321616
47,-222,-237,-541,362,-159,-32,443,510,-208,-554,341.5030557239927
48,-263,408,584,-395,30,588,467,399,-545,499,501.6720910532477
49,-519,-581,139,-505,-51,485,196,417,-170,-230,354.2992898729363
50,534,-210,133,-338,-442,386,495,360,584,388,418.8819633339986
51,525,-92,-357,-546,396,-205,330,-570,299,-73,360.2482652557503
52,118,-329,58,-385,-5,200,-574,383,180,83,208.30681787874278
53,-106,-521,-428,120,-162,156,-594,519,89,320,316.845361172297
54,-554,-589,402,411,251,-78,383,179,-453,58,361.18761568650837
55,289,384,-542,0,11,194,254,-573,-274,-340,287.40773990754343
56,-240,362,492,207,412,-281,-107,402,-590,306,335.26286936344263
57,-220,345,543,-443,-125,222,-187,-316,78,240,231.48323123454463
58,-320,579,397,181,242,234,-189,599,415,510,393.0440219311859
59,237,346,-309,349,113,-217,-119,575,589,-522,355.30355240301526
60,46,522,-357,-150,-310,52,99,-562,-433,-6,260.13082052453115
61,383,33,-7,227,196,141,-92,117,-269,-282,108.88582252397237
62,159,173,84,481,-139,306,-431,-401,-446,-236,252.9366507368022
63,-457,280,-59,87,558,427,-298,-454,-392,232,324.6027880923607
64,238,-350,-419,-52,254,543,-511,-206,440,365,337.78893814903705
65,-578,42,436,461,294,-429,17,281,348,592,391.10064127311233
66,168,293,139,0,416,131,442,-351,295,-450,233.92521923376606
67,197,554,-482,93,61,328,-27,-269,-141,372,233.3394947000495
68,-203,-597,210,-366,292,553,-216,416,597,-399,426.5205952745932
69,310,124,-356,-176,-488,333,570,-249,237,-320,291.9237141911154
70,-21,8,-445,-431,267,-30,303,52,-308,276,181.50795385714065
71,416,336,425,216,-274,552,-584,551,-113,517,455.4336015186502
72,-17,-135,236,-336,-127,-175,-412,-549,244,171,199.44498169799854
73,418,-314,-82,425,568,-556,376,-211,-279,-382,376.5226359033647
74,521,-540,321,287,311,298,-120,-238,365,-307,309.12351077561186
75,60,43,208,-80,-77,239,-234,-422,-451,255,155.83169519377876
76,101,-334,-272,8,-599,385,-429,-187,479,-267,306.6427286010944
77,374,-316,484,-254,-475,-460,501,499,208,203,391.0507620473322
78,-364,-418,207,223,-215,-421,-107,295,-444,397,270.12524915327157
79,172,211,505,97,-549,-305,546,-327,345,-340,344.16709570003667
80,-3,-200,270,-32,-574,150,-238,503,23,-581,279.4137338814705
81,216,587,-38,176,555,211,282,-208,34,348,256.29984975098796
82,419,-405,179,-96,-37,77,50,365,181,392,178.5728130362773
83,-58,-222,-73,-39,-216,189,-175,-588,-246,475,202.09594955445317
84,-584,-489,160,42,330,441,205,311,-95,415,308.72805576668907
85,-159,-238,-523,105,-592,14,555,-175,-511,115,333.5354981624201
86,411,-531,435,282,-198,-149,-530,95,-12,-430,315.0011291530877
87,-133,-188,550,141,299,-231,-161,-151,268,-427,206.22351794659804
88,-512,99,62,-499,-581,-341,504,492,422,-423,458.93124740450384
89,-203,-338,-219,313,288,172,177,452,227,78,177.78927185084532
90,91,-177,504,-422,-187,180,-414,375,-499,94,278.23906535518654
91,-156,-147,15,451,210,-359,543,-397,-501,-181,290.6942698196876
92,165,272,561,-189,-39,27,-156,424,-188,232,187.79367367230623
93,206,272,195,-367,239,413,118,-5,437,-383,218.10832498621522
94,553,-403,-590,390,263,-216,308,-305,-472,-155,380.740052962497
95,64,-250,222,-457,481,344,335,-60,-276,-559,295.7245243239798
96,116,-428,-108,-345,-188,239,540,-387,40,-4,216.69477894389044
97,-256,316,82,-22,319,-436,37,-153,477,-503,243.44308528987182
98,-366,-47,320,-433,-371,468,-153,-322,473,-58,285.22614322613157
99,-343,-556,-280,286,-261,511,590,-412,-30,225,372.39749775189875
100,-5,-598,553,-230,-583,491,454,-134,79,160,389.295430796654
101,597,-552,-496,-386,-366,-188,-87,504,-127,353,407.93787216212627
102,326,533,277,330,584,-428,526,-69,-329,-18,373.5422888625937
103,-597,-171,-385,350,-399,145,-278,-25,88,-239,245.84403011161186
104,-453,-372,-248,294,574,-138,567,456,313,294,389.4777226719571
105,159,-267,-411,-575,28,-125,-11,-179,-6,203,172.48300065195838
106,36,63,-188,228,-249,-123,-373,288,-5,448,149.1312503200458
107,106,-155,129,-419,-363,56,418,389,375,394,247.11504103793536
108,-448,-593,332,263,-289,499,225,-335,-269,543,399.57636620689595
109,345,492,584,20,-184,-439,296,-50,490,-172,323.2305055218741
110,523,-457,-528,-118,400,55,533,-207,253,-216,344.927677981294
111,125,-15,297,-258,174,553,74,342,139,-325,189.5234848877086
112,-388,243,560,224,244,98,122,-71,-179,-478,231.73966796579825
113,445,-314,-79,456,-41,522,71,362,77,-563,311.9866734852811
114,394,254,-510,387,200,-583,7,-305,286,-229,310.1956099908041
115,357,-401,-478,571,367,-263,-80,55,91,-410,309.10975152404455
116,-443,99,184,-528,-543,410,492,-203,302,-110,343.0571922327782
117,374,307,-520,-25,-254,61,47,20,48,-207,156.28439391574753
118,152,133,-243,-163,295,191,-96,-413,300,-394,169.73299927726714
119,-343,-228,343,433,145,-182,342,133,-491,-54,227.90443435054718
120,-430,-451,-259,298,537,-477,-346,-324,510,565,467.02940672698287
121,387,-208,189,584,464,423,557,-460,505,335,464.2827307020571
122,-74,414,-282,-547,339,-66,475,34,-152,-293,253.65411263418352
123,35,-219,-462,-467,-91,361,541,-577,-142,-224,329.8192484240627
124,-485,-560,174,503,-377,-257,-439,118,450,-137,368.050752056376
125,-308,-371,412,-543,-297,462,-198,551,-52,-131,341.3969751927975
126,75,-471,-537,537,-43,503,-518,583,169,-171,432.2527702917486
127,-343,520,-205,331,-147,3,333,-566,-210,-319,285.58462127815386
128,-353,473,-516,368,248,-290,-271,-346,21,-576,356.2486470583921
129,380,30,373,13,-310,-438,97,101,414,276,210.92722887491743
130,-284,168,491,-433,330,11,53,58,404,-323,231.04724729948487
131,596,336,-61,411,482,-120,479,-76,-337,112,313.21422713227093
132,193,-431,135,455,96,581,-379,147,495,-385,339.3834875330498
133,-385,-93,69,68,187,354,594,376,36,-331,233.90325850387651
134,-441,293,520,-332,83,335,519,-147,18,274,287.60915021113954
135,38,-190,-198,-551,59,-132,-341,170,3,-274,156.37870841942183
136,-262,-425,500,-379,150,357,-394,-568,-497,-76,381.88011452866283
137,414,428,223,552,-440,-172,-273,260,-449,39,320.36202091947047
138,-385,-133,316,-57,302,120,364,343,-599,173,254.37467088661433
139,422,-201,-572,46,131,356,289,30,-359,-456,279.2301166634569
140,-574,282,-402,-387,283,111,108,-489,-543,-146,345.93304185668364
141,-72,178,-345,-142,28,193,-131,-120,-11,510,127.46738429196922
142,117,599,390,-364,338,14,6,121,457,-351,280.55774410561446
143,-231,-586,433,-75,488,-495,-435,277,-310,548,434.84951983730696
144,-478,590,-534,-560,-309,-559,-151,-225,-336,-502,506.41685215380596
145,557,123,539,-77,167,529,284,114,-461,-29,310.1350323906164
146,251,-233,-243,243,8,-341,-247,315,534,132,204.6395557720394
147,385,528,-402,210,-557,-554,125,318,-357,584,459.78339133758107
148,150,541,-577,-348,420,-151,548,-456,-557,494,508.73511885858346
149,-201,-76,219,-94,-578,-447,-164,-258,491,-246,259.00707668645515
150,-570,-376,-277,56,424,325,-325,-516,-469,149,362.3971297403387
151,-520,-246,448,-300,324,-179,-564,537,-69,92,345.58169869550835
152,-203,-500,577,94,-197,-198,504,-348,-566,-270,370.84091609147936
153,222,574,108,367,-133,-592,-29,164,475,-48,288.2343353268577
154,347,399,-520,448,54,38,-405,-57,155,-34,237.88214156972572
155,173,35,-194,-493,413,-283,-141,-310,-119,184,182.62371544869478
156,167,-522,-31,533,-139,-253,-460,548,-504,-338,388.1817899645277
157,-110,-541,274,-268,-385,-369,173,60,-66,231,207.8282508999041
158,-465,44,407,-238,-350,-379,495,-577,58,109,325.9484322553142
159,-317,568,-97,307,219,317,69,-66,31,-207,183.03195863264767
160,-524,-503,534,-45,-145,-337,389,63,-585,479,420.08384771912944
161,220,261,353,-415,485,520,465,61,-241,226,313.01529572657034
162,520,439,589,-465,-526,-432,-404,108,-450,581,552.1270000030981
163,-125,431,-187,-96,-216,-418,-380,173,-115,88,166.5623178369882
164,577,-119,448,-301,-302,480,-556,-305,591,-531,499.34972763649216
165,327,490,-437,-446,-591,-407,-250,-234,554,358,452.0483850922269
166,99,296,-301,-226,319,-369,-299,-488,224,25,214.8404685586548
167,-346,464,-372,535,-485,-372,439,321,315,-115,386.35325777890927
168,401,162,323,151,585,576,-340,195,-490,-341,375.53783600580044
169,-597,455,49,497,504,-149,-118,79,-532,-93,351.2233217579057
170,379,-76,-473,-360,-453,11,-540,-4,-396,-349,320.5772901331455
171,-484,-151,277,-18,145,250,-74,549,-6,462,235.5081926805168
172,333,331,-463,-278,-7,173,401,-303,-500,-491,322.4302271546763
173,-442,-188,582,-192,-312,233,-155,-305,289,-72,241.9233232055886
174,108,205,28,55,49,-162,-89,-573,-230,343,149.23963268901463
175,500,458,511,-210,500,267,-500,-6,23,-33,335.48195482363803
176,-180,174,223,240,-361,-511,506,-546,258,-451,347.3902614910972
177,182,-575,7,-114,-593,-499,-172,-524,-594,-371,444.03301654225544
178,201,-578,257,427,78,-131,-24,-12,122,463,220.01948148879382
179,176,-420,401,297,52,443,-334,-508,-376,35,292.88315349493627
180,464,-459,323,326,517,-206,28,-209,205,46,259.758084414901
181,-532,78,-88,171,590,-591,46,232,57,524,340.3042771833019
182,-590,95,-156,-540,148,-326,-349,-486,159,224,309.6739066538114
183,10,-318,548,101,-371,-398,574,-156,445,471,371.3702052297982
184,557,95,482,-478,456,-576,415,-538,474,351,533.3351925338309
185,-16,-75,-319,-273,52,411,-139,-52,452,-336,174.25565825559667
186,335,-46,131,-277,559,208,248,-547,1,393,270.7855685933399
187,538,-232,470,6,-137,-110,-7,63,-73,595,240.626766121646
188,522,410,-88,39,145,76,-516,433,-492,91,296.125385328671
189,-203,-387,183,23,336,-491,566,439,-349,-551,380.3628398399001
190,67,-37,52,322,-237,-333,-176,-63,330,-298,128.99069330157272
191,-515,69,279,-159,159,295,186,-546,-26,-484,264.1938035040085
192,-301,-569,306,-424,498,-308,-374,-508,588,231,457.9194918014035
193,-145,-515,229,449,-340,-79,-174,130,292,-202,209.84434501141214
194,-262,-274,319,114,-300,121,168,237,397,-277,171.46203009343634
195,268,188,-462,-228,-527,79,374,-237,31,103,217.04540835885967
196,-57,-546,367,546,-230,258,165,-588,352,447,388.5792866431907
197,-333,355,-487,445,192,562,-144,-484,-467,-214,386.92165320433196
198,593,-170,566,121,-564,442,-540,-192,587,-401,516.696255335891
199,292,513,-272,-279,-308,407,21,540,-409,103,308.8045571701241
200,-356,17,-113,195,420,-554,-253,280,-12,456,253.90200033824294
201,531,411,-471,359,-432,-85,201,293,-284,70,302.85434458258084
202,-10,550,-36,425,515,101,162,-408,-402,-422,324.02374236076514
203,538,-156,-196,40,-445,-123,21,-73,18,326,170.82937332927233
204,-72,-48,-63,-579,262,-127,462,-428,-492,515,334.84746263716113
205,-68,-104,-522,-588,-241,-487,574,17,-132,-326,346.5957685345236
206,-114,367,-565,-588,-365,-482,-102,455,500,513,478.2120299245752
207,-385,-318,-1,151,-113,-57,-265,255,424,562,230.7577027456394
208,-233,-340,-277,481,175,-239,579,176,344,-122,267.25734491487583
209,-407,-273,546,477,358,-32,480,287,-462,-464,410.12997891842036
210,-469,71,483,483,44,137,-228,-226,146,82,211.84632554966808
211,-174,-373,436,-495,-527,529,380,-565,189,-268,434.31767098219206
212,-227,248,-356,-413,-59,469,59,-374,353,-556,303.7695217631045
213,358,-104,-578,-11,257,-485,-5,523,478,160,326.5551125875209
214,423,-114,-116,-568,74,-26,-319,-22,133,-169,171.66332403258014
215,-504,211,40,373,13,-323,-543,-262,485,187,295.3628201032084
216,57,548,13,-218,-121,-562,258,20,501,537,323.0116609886696
217,423,-109,-1,533,463,-573,500,480,525,271,462.78495784270024
218,326,-233,-134,-403,453,-131,342,407,528,-353,313.32675043473694
219,104,-427,150,-439,230,-257,-347,-541,-545,490,370.368078127492
220,584,-144,270,75,-229,321,407,-332,315,44,244.20818660827118
